cid,request.time,timezone,phoneos,configmodule,startTs,startUTCtime,traceid
0MDXcdAJrehvc-HNyPCI1d9lR6F2FT8k,2021-03-24T00:00:49.329Z,America/Chicago,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1606518003,2020/11/27 23:00,1616544047410
0MG447YzQp64ZEJ1mtou_k9w4MHtXJCA,2021-03-24T00:02:43.336Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1613696441,2021/2/19 1:00,1616544163106
0M-ODPXuEhQoa8i6kciUwI7LQQ6tWFJC,2021-03-24T00:07:53.159Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1604449827,2020/11/4 0:30,1616544472803
0MN7Uo_l-5uBh5VVTTgut6pSQF5o6A7f,2021-03-24T00:28:46.599Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1614559059,2021/3/1 0:37,1616545726266
0MGfYVDzkTbQxaKOp2Xuqij_bjTVZJKs,2021-03-24T00:29:55.146Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1610413200,2021/1/12 1:00,1616545794937
0MG4H4xtUh4Crv1XIflA6VThyjlmM6Od,2021-03-24T00:54:00.209Z,America/Denver,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614954611,2021/3/5 14:30,1616547240012
0MGRy0TXuyTHTgcKThLrZwhUzr7CGyWf,2021-03-24T01:00:29.083Z,America/Detroit,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1609894801,2021/1/6 1:00,1616547628813
0MDDLashkEvVG87CRI92GBs-s1NEKf0k,2021-03-24T01:00:42.148Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1610073029,2021/1/8 2:30,1616547641678
0M5HcplLhbWJ0WR1eM9exnh7b97GsW0v,2021-03-24T01:00:59.112Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1601688628,2020/10/3 1:30,1616547658736
0MLL74Jd5B9EfZaCNOX0xUuQtpCR34n3,2021-03-24T01:10:19.337Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1613907041,2021/2/21 11:30,1616548212370
0MOfCHXndW6ol5LDdo8IUYwMBNDg7T2g,2021-03-24T01:11:42.763Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1614218457,2021/2/25 2:00,1616548302406
0MKdzU6aDf74VNozLgbinjc6mlvkkUc1,2021-03-24T01:27:49.981Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1613527240,2021/2/17 2:00,1616549269641
0MIwape90bxsrG4Sruz5G_8LLgL226gr,2021-03-24T01:27:50.670Z,America/Chicago,Android 11,WiFiBTOnboarding_AirPurifier_Core200S_US,1610243100,2021/1/10 1:45,1616549271086
0MOj1NjjerUeOZzDIk8avl5JzniDNzDG,2021-03-24T01:29:29.645Z,America/Chicago,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614679257,2021/3/2 10:00,1616549369504
0MGGrBNjPHadJY16gUdVQSStL9IANeYU,2021-03-24T01:30:10.358Z,America/New_York,iOS 14.3,WiFiBTOnboarding_AirPurifier_Core200S_US,1613958317,2021/2/22 1:45,1616549410177
0MD68GPv0FzePAcfvvrI0Wl1d83Wc9fq,2021-03-24T01:36:12.028Z,America/New_York,iOS 14.3,WiFi_Outlet_ESW10-USA,1608947103,2020/12/26 1:45,1616549771670
0MD68GMK0p-8sz3F_GbPPw4BjKys65I-,2021-03-24T01:37:18.287Z,America/New_York,iOS 14.3,WiFi_Outlet_ESW10-USA,1610588758,2021/1/14 1:45,1616549837987
0MJqH8FO0liis1M4asfkX3u1H5b8-IAB,2021-03-24T01:42:05.074Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1611753655,2021/1/27 13:20,1616550124624
0MFA3irUoiaamnlHdFO1Pep-j1j6PSXb,2021-03-24T01:43:22.128Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1609376423,2020/12/31 1:00,1616550201798
0MJZtjbPGDKBQyVbMt53TenFqwHa9tla,2021-03-24T01:45:37.885Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1608003035,2020/12/15 3:30,1616550337560
0MKZ2Hhn5qDX6rkLgrtwIr-nKSj3Xxz_,2021-03-24T01:50:13.245Z,America/North_Dakota/Center,iOS 14.4,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1608552003,2020/12/21 12:00,1616550612961
0MLRdXsDYnv44cI96DgrIiF4nRohEiok,2021-03-24T01:50:38.364Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1612245656,2021/2/2 6:00,1616550638020
0MGB9mCCezfvAT9BzEjIYbDDS0T1uf8L,2021-03-24T01:51:57.352Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614565801,2021/3/1 2:30,1616550717169
0MKD8Gzu3dyuOfMkrYz7jzsTQYqc5ntX,2021-03-24T01:55:13.173Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1612792848,2021/2/8 14:00,1616550912929
0MJ_vQNacS2K3i_9Zsw05ZxH18NNWx2R,2021-03-24T02:00:36.829Z,America/Los_Angeles,iOS 14.4,WiFi_Outlet_ESW10-USA,1611385218,2021/1/23 7:00,1616551236480
0MGNsDPBVPFjWLIr_ilkn-21EMWapSJi,2021-03-24T02:01:27.768Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1610109027,2021/1/8 12:30,1616551283195
0MG81zdt8-8qyM5iUvf73qd8crLBE9zI,2021-03-24T02:02:15.615Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1613097038,2021/2/12 2:30,1616551335419
0MKYmhAU--ZBBCdBCizLnM-6B14XKys0,2021-03-24T02:03:34.390Z,America/New_York,iOS 14.4,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1610332227,2021/1/11 2:30,1616551414115
0M5HBZNfjGJ9oz8Fr4C3jzVI5JGaHYen,2021-03-24T02:03:35.455Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1604545200,2020/11/5 3:00,1616551415186
